"STATION","NAME","DATE","AWND","PRCP","TMAX","TMIN"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-08","7.16","0.00","78","64"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-09","8.72","0.00","82","60"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-10","5.82","0.64","77","67"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-11","3.80","0.59","83","66"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-12","6.93","0.19","83","71"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-13","8.50","0.19","83","73"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-14","8.05","0.00","82","68"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-15","5.37","0.00","81","63"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-16","8.50","0.00","82","63"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-17","4.70","0.00","79","61"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-18","3.80","0.00","85","62"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-19","5.37","0.00","92","71"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-20","6.93","0.00","88","72"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-21","4.70","0.00","86","72"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-22","6.71","0.02","86","74"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-23","5.59","0.00","83","71"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-24","9.62","0.00","74","62"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-25","6.71","0.00","77","57"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-26","6.49","0.00","82","62"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-27","6.26","0.00","84","67"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-28","10.96","0.00","78","60"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-29","10.07","0.00","83","59"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-30","4.03","0.00","86","61"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-07-31","3.80","0.00","88","63"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-01","6.71","0.00","88","68"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-02","6.04","1.14","87","66"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-03","5.37","0.12","85","66"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-04","12.97","0.00","77","62"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-05","8.50","0.00","77","57"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-06","4.25","0.00","78","59"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-07","4.92","0.00","79","60"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-08","4.47","0.00","83","57"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-09","5.82","0.00","84","63"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-10","5.14","0.00","83","64"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-11","8.05","0.17","83","66"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-12","6.71","0.01","78","62"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-13","3.80","0.00","80","59"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-14","5.59","0.00","82","62"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-15","4.25","0.07","82","65"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-16","6.49","0.00","82","61"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-17","8.50","0.98","80","69"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-18","11.18","0.00","78","67"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-19","6.04","0.00","80","64"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-20","4.92","0.00","83","61"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-21","5.59","0.00","87","67"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-22","12.97","0.08","80","65"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-23","6.93","0.00","75","57"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-24","6.71","0.00","72","56"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-25","4.03","0.00","72","51"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-26","4.92","0.00","72","52"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-27","5.59","0.00","75","55"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-28","5.82","1.65","73","62"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-29",,,"73","61"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-30","2.91","0.00","81","70"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-08-31","10.51","0.00","71","53"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-01","10.74","0.00","64","53"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-02","7.38","0.00","69","49"
